PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,
11,0,3,male,22,1,0,A/5 21171,7.25,,S,
22,1,1,female,38,1,0,PC 17599,71.2833,C85,C,
33,1,3,female,26,0,0,STON/O2. 3101282,7.925,,S,
44,1,1,female,35,1,0,113803,53.1,C123,S,
55,0,3,male,35,0,0,373450,8.05,,S,
66,0,3,male,37.706787073228185,0,0,330877,8.4583,,Q,
77,0,1,male,54,0,0,17463,51.8625,E46,S,
88,0,3,male,2,3,1,349909,21.075,,S,
99,1,3,female,27,0,2,347742,11.1333,,S,
1010,1,2,female,14,1,0,237736,30.0708,,C,
1111,1,3,female,4,1,1,PP 9549,16.7,G6,S,
1212,1,1,female,58,0,0,113783,26.55,C103,S,
1313,0,3,male,20,0,0,A/5. 2151,8.05,,S,
1414,0,3,male,39,1,5,347082,31.275,,S,
1515,0,3,female,14,0,0,350406,7.8542,,S,
1616,1,2,female,55,0,0,248706,16,,S,
1717,0,3,male,2,4,1,382652,29.125,,Q,
1818,1,2,male,17.90266422701734,0,0,244373,13,,S,
1919,0,3,female,31,1,0,345763,18,,S,
2020,1,3,female,16.10659384594377,0,0,2649,7.225,,C,
2121,0,2,male,35,0,0,239865,26,,S,
2222,1,2,male,34,0,0,248698,13,D56,S,
2323,1,3,female,15,0,0,330923,8.0292,,Q,
2424,1,1,male,28,0,0,113788,35.5,A6,S,
2525,0,3,female,8,3,1,349909,21.075,,S,
2626,1,3,female,38,1,5,347077,31.3875,,S,
2727,0,3,male,29.7158918459415,0,0,2631,7.225,,C,
2828,0,1,male,19,3,2,19950,263,C23 C25 C27,S,
2929,1,3,female,6.264717055028662,0,0,330959,7.8792,,Q,
3030,0,3,male,43.46390129305486,0,0,349216,7.8958,,S,
3131,0,1,male,40,0,0,PC 17601,27.7208,,C,
3232,1,1,female,44.84497456773595,1,0,PC 17569,146.5208,B78,C,
3333,1,3,female,30.840807022918703,0,0,335677,7.75,,Q,
3434,0,2,male,66,0,0,C.A. 24579,10.5,,S,
3535,0,1,male,28,1,0,PC 17604,82.1708,,C,
3636,0,1,male,42,1,0,113789,52,,S,
3737,1,3,male,46.377082239180595,0,0,2677,7.2292,,C,
3838,0,3,male,21,0,0,A./5. 2152,8.05,,S,
3939,0,3,female,18,2,0,345764,18,,S,
4040,1,3,female,14,1,0,2651,11.2417,,C,
4141,0,3,female,40,1,0,7546,9.475,,S,
4242,0,2,female,27,1,0,11668,21,,S,
4343,0,3,male,45.70586605657249,0,0,349253,7.8958,,C,
4444,1,2,female,3,1,2,SC/Paris 2123,41.5792,,C,
4545,1,3,female,19,0,0,330958,7.8792,,Q,
4646,0,3,male,4.0848146575923465,0,0,S.C./A.4. 23567,8.05,,S,
4747,0,3,male,42.215139696284005,1,0,370371,15.5,,Q,
4848,1,3,female,16.36497627678807,0,0,14311,7.75,,Q,
4949,0,3,male,6.107432461391518,2,0,2662,21.6792,,C,
5050,0,3,female,18,1,0,349237,17.8,,S,
5151,0,3,male,7,4,1,3101295,39.6875,,S,
5252,0,3,male,21,0,0,A/4. 39886,7.8,,S,
5353,1,1,female,49,1,0,PC 17572,76.7292,D33,C,
5454,1,2,female,29,1,0,2926,26,,S,
5555,0,1,male,65,0,1,113509,61.9792,B30,C,
5656,1,1,male,49.90854326467777,0,0,19947,35.5,C52,S,
